candidate_id,image_file_name,dataset_source,selection_band,selection_state,comment_type,visible_anchor_count,generic_phrase_count,specificity_pass,audit_flags
gemini__100__18__aadb__middle_near_miss__farm1_259_19941646580_6d81d8798d_b.jpg__7848dfa9d9,farm1_259_19941646580_6d81d8798d_b.jpg,aadb,middle_near_miss,near_miss,,0,0,False,"['json_invalid', 'missing_comment_type', 'missing_short_reason', 'missing_detailed_reason', 'comment_type_mismatch', 'generic_only_wording']"
gemini__100__19__ava__middle_near_miss__339389.jpg__7cfe014679,339389.jpg,ava,middle_near_miss,near_miss,,0,0,False,"['json_invalid', 'missing_comment_type', 'missing_short_reason', 'missing_detailed_reason', 'comment_type_mismatch', 'generic_only_wording']"
gemini__100__20__ava__middle_near_miss__954736.jpg__e34011d180,954736.jpg,ava,middle_near_miss,near_miss,,0,0,False,"['json_invalid', 'missing_comment_type', 'missing_short_reason', 'missing_detailed_reason', 'comment_type_mismatch', 'generic_only_wording']"
gemini__100__21__ava__middle_near_miss__420218.jpg__7d852b5db5,420218.jpg,ava,middle_near_miss,near_miss,,0,0,False,"['json_invalid', 'missing_comment_type', 'missing_short_reason', 'missing_detailed_reason', 'comment_type_mismatch', 'generic_only_wording']"
gemini__100__22__ava__middle_near_miss__325887.jpg__32b3559032,325887.jpg,ava,middle_near_miss,near_miss,,0,0,False,"['json_invalid', 'missing_comment_type', 'missing_short_reason', 'missing_detailed_reason', 'comment_type_mismatch', 'generic_only_wording']"
gemini__100__23__aadb__middle_near_miss__farm1_270_20156668445_4e37679a90_b.jpg__00996b7080,farm1_270_20156668445_4e37679a90_b.jpg,aadb,middle_near_miss,near_miss,,0,0,False,"['json_invalid', 'missing_comment_type', 'missing_short_reason', 'missing_detailed_reason', 'comment_type_mismatch', 'generic_only_wording']"
gemini__100__24__ava__selected_high__887208.jpg__fc00711008,887208.jpg,ava,selected_high,selected,,0,0,False,"['json_invalid', 'missing_comment_type', 'missing_short_reason', 'missing_detailed_reason', 'comment_type_mismatch', 'generic_only_wording']"
gemini__100__25__aadb__selected_high__farm1_365_20081778936_33b287a51c_b.jpg__f10991fa81,farm1_365_20081778936_33b287a51c_b.jpg,aadb,selected_high,selected,,0,0,False,"['json_invalid', 'missing_comment_type', 'missing_short_reason', 'missing_detailed_reason', 'comment_type_mismatch', 'generic_only_wording']"
gemini__100__26__ava__selected_high__199677.jpg__6545e09e50,199677.jpg,ava,selected_high,selected,selected_explanation,2,0,True,[]
gemini__100__27__aadb__middle_near_miss__farm1_530_20128497671_c85e64faf9_b.jpg__177278a4f2,farm1_530_20128497671_c85e64faf9_b.jpg,aadb,middle_near_miss,near_miss,,0,0,False,"['json_invalid', 'missing_comment_type', 'missing_short_reason', 'missing_detailed_reason', 'comment_type_mismatch', 'generic_only_wording']"
gemini__100__28__aadb__middle_near_miss__farm1_270_19798314148_7edc49d610_b.jpg__7cde6e0c35,farm1_270_19798314148_7edc49d610_b.jpg,aadb,middle_near_miss,near_miss,,0,0,False,"['json_invalid', 'missing_comment_type', 'missing_short_reason', 'missing_detailed_reason', 'comment_type_mismatch', 'generic_only_wording']"
gemini__100__29__ava__middle_near_miss__426101.jpg__7e7ea1cd70,426101.jpg,ava,middle_near_miss,near_miss,,0,0,False,"['json_invalid', 'missing_comment_type', 'missing_short_reason', 'missing_detailed_reason', 'comment_type_mismatch', 'generic_only_wording']"
gemini__100__30__ava__rejected_low__30342.jpg__15440422ad,30342.jpg,ava,rejected_low,not_selected,rejection_reason,2,0,True,[]
gemini__100__31__aadb__selected_high__farm1_419_20163833486_11801c1bd4_b.jpg__b9fdf8c3a3,farm1_419_20163833486_11801c1bd4_b.jpg,aadb,selected_high,selected,,0,0,False,"['json_invalid', 'missing_comment_type', 'missing_short_reason', 'missing_detailed_reason', 'comment_type_mismatch', 'generic_only_wording']"
gemini__100__32__aadb__selected_high__farm1_255_19452343093_8ee7e5e375_b.jpg__0d65590d40,farm1_255_19452343093_8ee7e5e375_b.jpg,aadb,selected_high,selected,selected_explanation,1,0,False,['generic_only_wording']
gemini__100__33__ava__middle_near_miss__371605.jpg__4a518f5b1c,371605.jpg,ava,middle_near_miss,near_miss,near_miss_feedback,4,0,True,[]
gemini__100__34__ava__selected_high__703909.jpg__d01063e744,703909.jpg,ava,selected_high,selected,,0,0,False,"['json_invalid', 'missing_comment_type', 'missing_short_reason', 'missing_detailed_reason', 'comment_type_mismatch', 'generic_only_wording']"
gemini__100__35__aadb__selected_high__farm1_262_20182683056_7c884ae4cf_b.jpg__5d5eb9f948,farm1_262_20182683056_7c884ae4cf_b.jpg,aadb,selected_high,selected,selected_explanation,3,0,True,[]
gemini__100__36__ava__selected_high__177507.jpg__409bd981bf,177507.jpg,ava,selected_high,selected,selected_explanation,5,1,True,[]
gemini__100__37__ava__selected_high__362053.jpg__95d19873ea,362053.jpg,ava,selected_high,selected,selected_explanation,3,0,True,[]
gemini__100__38__ava__selected_high__235951.jpg__902127a733,235951.jpg,ava,selected_high,selected,,0,0,False,"['json_invalid', 'missing_comment_type', 'missing_short_reason', 'missing_detailed_reason', 'comment_type_mismatch', 'generic_only_wording']"
gemini__100__39__ava__selected_high__693820.jpg__af0f2a7abf,693820.jpg,ava,selected_high,selected,,0,0,False,"['json_invalid', 'missing_comment_type', 'missing_short_reason', 'missing_detailed_reason', 'comment_type_mismatch', 'generic_only_wording']"
gemini__100__40__ava__rejected_low__428700.jpg__82f8d4ea0d,428700.jpg,ava,rejected_low,not_selected,rejection_reason,5,0,True,[]
gemini__100__41__ava__rejected_low__55768.jpg__8dc5be507d,55768.jpg,ava,rejected_low,not_selected,,0,0,False,"['json_invalid', 'missing_comment_type', 'missing_short_reason', 'missing_detailed_reason', 'comment_type_mismatch', 'generic_only_wording']"
gemini__100__42__ava__middle_near_miss__600996.jpg__a6127dd3cb,600996.jpg,ava,middle_near_miss,near_miss,,0,0,False,"['json_invalid', 'missing_comment_type', 'missing_short_reason', 'missing_detailed_reason', 'comment_type_mismatch', 'generic_only_wording']"
gemini__100__43__ava__middle_near_miss__440544.jpg__0e6c6ef719,440544.jpg,ava,middle_near_miss,near_miss,,0,0,False,"['json_invalid', 'missing_comment_type', 'missing_short_reason', 'missing_detailed_reason', 'comment_type_mismatch', 'generic_only_wording']"
gemini__100__44__aadb__middle_near_miss__farm1_546_20091381170_18037855a4_b.jpg__98a848227a,farm1_546_20091381170_18037855a4_b.jpg,aadb,middle_near_miss,near_miss,,0,0,False,"['json_invalid', 'missing_comment_type', 'missing_short_reason', 'missing_detailed_reason', 'comment_type_mismatch', 'generic_only_wording']"
gemini__100__45__ava__middle_near_miss__735278.jpg__3e8fb12ac0,735278.jpg,ava,middle_near_miss,near_miss,,0,0,False,"['json_invalid', 'missing_comment_type', 'missing_short_reason', 'missing_detailed_reason', 'comment_type_mismatch', 'generic_only_wording']"
gemini__100__46__ava__selected_high__645376.jpg__e640692b03,645376.jpg,ava,selected_high,selected,,0,0,False,"['json_invalid', 'missing_comment_type', 'missing_short_reason', 'missing_detailed_reason', 'comment_type_mismatch', 'generic_only_wording']"
gemini__100__47__aadb__middle_near_miss__farm1_395_19571170684_ccbb9c17b7_b.jpg__688d101cde,farm1_395_19571170684_ccbb9c17b7_b.jpg,aadb,middle_near_miss,near_miss,near_miss_feedback,6,0,True,[]
gemini__100__48__aadb__rejected_low__farm1_323_20148008972_f57613a991_b.jpg__1793213a7f,farm1_323_20148008972_f57613a991_b.jpg,aadb,rejected_low,not_selected,,0,0,False,"['json_invalid', 'missing_comment_type', 'missing_short_reason', 'missing_detailed_reason', 'comment_type_mismatch', 'generic_only_wording']"
gemini__100__49__ava__selected_high__940369.jpg__c628266ecc,940369.jpg,ava,selected_high,selected,selected_explanation,3,0,True,[]
gemini__100__50__ava__rejected_low__294865.jpg__6652600118,294865.jpg,ava,rejected_low,not_selected,,0,0,False,"['json_invalid', 'missing_comment_type', 'missing_short_reason', 'missing_detailed_reason', 'comment_type_mismatch', 'generic_only_wording']"
gemini__100__51__aadb__rejected_low__farm1_260_20197085902_faf10a855a_b.jpg__dce70b2d91,farm1_260_20197085902_faf10a855a_b.jpg,aadb,rejected_low,not_selected,,0,0,False,"['json_invalid', 'missing_comment_type', 'missing_short_reason', 'missing_detailed_reason', 'comment_type_mismatch', 'generic_only_wording']"
gemini__100__52__ava__rejected_low__724059.jpg__c6b1d58648,724059.jpg,ava,rejected_low,not_selected,,0,0,False,"['json_invalid', 'missing_comment_type', 'missing_short_reason', 'missing_detailed_reason', 'comment_type_mismatch', 'generic_only_wording']"
gemini__100__53__aadb__middle_near_miss__farm1_361_20007022190_d4912c7ef1_b.jpg__623bd5084b,farm1_361_20007022190_d4912c7ef1_b.jpg,aadb,middle_near_miss,near_miss,,0,0,False,"['json_invalid', 'missing_comment_type', 'missing_short_reason', 'missing_detailed_reason', 'comment_type_mismatch', 'generic_only_wording']"
gemini__100__54__ava__selected_high__882889.jpg__d1822dc5a4,882889.jpg,ava,selected_high,selected,,0,0,False,"['json_invalid', 'missing_comment_type', 'missing_short_reason', 'missing_detailed_reason', 'comment_type_mismatch', 'generic_only_wording']"
gemini__100__55__ava__middle_near_miss__70473.jpg__1205be1747,70473.jpg,ava,middle_near_miss,near_miss,,0,0,False,"['json_invalid', 'missing_comment_type', 'missing_short_reason', 'missing_detailed_reason', 'comment_type_mismatch', 'generic_only_wording']"
gemini__100__56__ava__selected_high__263871.jpg__eaf0e2c131,263871.jpg,ava,selected_high,selected,,0,0,False,"['json_invalid', 'missing_comment_type', 'missing_short_reason', 'missing_detailed_reason', 'comment_type_mismatch', 'generic_only_wording']"
gemini__100__57__ava__middle_near_miss__365921.jpg__333b09cb2d,365921.jpg,ava,middle_near_miss,near_miss,,0,0,False,"['json_invalid', 'missing_comment_type', 'missing_short_reason', 'missing_detailed_reason', 'comment_type_mismatch', 'generic_only_wording']"
gemini__100__58__ava__selected_high__479734.jpg__ad94c24c19,479734.jpg,ava,selected_high,selected,,0,0,False,"['json_invalid', 'missing_comment_type', 'missing_short_reason', 'missing_detailed_reason', 'comment_type_mismatch', 'generic_only_wording']"
gemini__100__59__aadb__rejected_low__farm1_500_20167899466_9a477fef43_b.jpg__8c9971ecb6,farm1_500_20167899466_9a477fef43_b.jpg,aadb,rejected_low,not_selected,,0,0,False,"['json_invalid', 'missing_comment_type', 'missing_short_reason', 'missing_detailed_reason', 'comment_type_mismatch', 'generic_only_wording']"
gemini__100__60__aadb__selected_high__farm1_271_19495680953_80c413b576_b.jpg__dcc7a00aad,farm1_271_19495680953_80c413b576_b.jpg,aadb,selected_high,selected,,0,0,False,"['json_invalid', 'missing_comment_type', 'missing_short_reason', 'missing_detailed_reason', 'comment_type_mismatch', 'generic_only_wording']"
gemini__100__61__ava__rejected_low__8840.jpg__0960fc536b,8840.jpg,ava,rejected_low,not_selected,rejection_reason,8,0,True,[]
gemini__100__62__aadb__selected_high__farm1_300_19993605568_75daa95abd_b.jpg__9e7abed9ff,farm1_300_19993605568_75daa95abd_b.jpg,aadb,selected_high,selected,selected_explanation,3,0,True,[]
gemini__100__63__ava__middle_near_miss__493027.jpg__2c1634252d,493027.jpg,ava,middle_near_miss,near_miss,,0,0,False,"['json_invalid', 'missing_comment_type', 'missing_short_reason', 'missing_detailed_reason', 'comment_type_mismatch', 'generic_only_wording']"
gemini__100__64__ava__selected_high__745164.jpg__901c875509,745164.jpg,ava,selected_high,selected,selected_explanation,5,0,True,[]
gemini__100__65__ava__middle_near_miss__443402.jpg__eb08091a6d,443402.jpg,ava,middle_near_miss,near_miss,,0,0,False,"['json_invalid', 'missing_comment_type', 'missing_short_reason', 'missing_detailed_reason', 'comment_type_mismatch', 'generic_only_wording']"
gemini__100__66__ava__selected_high__449159.jpg__3a2645e10a,449159.jpg,ava,selected_high,selected,,0,0,False,"['json_invalid', 'missing_comment_type', 'missing_short_reason', 'missing_detailed_reason', 'comment_type_mismatch', 'generic_only_wording']"
gemini__100__67__ava__selected_high__838352.jpg__5374714696,838352.jpg,ava,selected_high,selected,,0,0,False,"['json_invalid', 'missing_comment_type', 'missing_short_reason', 'missing_detailed_reason', 'comment_type_mismatch', 'generic_only_wording']"
gemini__100__68__aadb__middle_near_miss__farm1_542_20158900971_831f96a17e_b.jpg__bf70b1c955,farm1_542_20158900971_831f96a17e_b.jpg,aadb,middle_near_miss,near_miss,,0,0,False,"['json_invalid', 'missing_comment_type', 'missing_short_reason', 'missing_detailed_reason', 'comment_type_mismatch', 'generic_only_wording']"
gemini__100__69__ava__middle_near_miss__926738.jpg__78b83387c3,926738.jpg,ava,middle_near_miss,near_miss,,0,0,False,"['json_invalid', 'missing_comment_type', 'missing_short_reason', 'missing_detailed_reason', 'comment_type_mismatch', 'generic_only_wording']"
gemini__100__70__aadb__rejected_low__farm1_289_20128169005_5050fd0c6a_b.jpg__a144a49516,farm1_289_20128169005_5050fd0c6a_b.jpg,aadb,rejected_low,not_selected,,0,0,False,"['json_invalid', 'missing_comment_type', 'missing_short_reason', 'missing_detailed_reason', 'comment_type_mismatch', 'generic_only_wording']"
gemini__100__71__ava__middle_near_miss__492704.jpg__df06626204,492704.jpg,ava,middle_near_miss,near_miss,,0,0,False,"['json_invalid', 'missing_comment_type', 'missing_short_reason', 'missing_detailed_reason', 'comment_type_mismatch', 'generic_only_wording']"
gemini__100__72__aadb__rejected_low__farm1_397_20145228521_b8a8a70383_b.jpg__817fab7df9,farm1_397_20145228521_b8a8a70383_b.jpg,aadb,rejected_low,not_selected,rejection_reason,5,1,True,[]
gemini__100__73__ava__rejected_low__955292.jpg__edb1054775,955292.jpg,ava,rejected_low,not_selected,,0,0,False,"['json_invalid', 'missing_comment_type', 'missing_short_reason', 'missing_detailed_reason', 'comment_type_mismatch', 'generic_only_wording']"
gemini__100__74__ava__middle_near_miss__884292.jpg__559b0fef5b,884292.jpg,ava,middle_near_miss,near_miss,,0,0,False,"['json_invalid', 'missing_comment_type', 'missing_short_reason', 'missing_detailed_reason', 'comment_type_mismatch', 'generic_only_wording']"
gemini__100__75__ava__selected_high__773246.jpg__35743c0421,773246.jpg,ava,selected_high,selected,,0,0,False,"['json_invalid', 'missing_comment_type', 'missing_short_reason', 'missing_detailed_reason', 'comment_type_mismatch', 'generic_only_wording']"
gemini__100__76__ava__rejected_low__503122.jpg__5ff594a7b1,503122.jpg,ava,rejected_low,not_selected,rejection_reason,3,0,True,[]
gemini__100__77__ava__rejected_low__9593.jpg__ffacd370df,9593.jpg,ava,rejected_low,not_selected,,0,0,False,"['json_invalid', 'missing_comment_type', 'missing_short_reason', 'missing_detailed_reason', 'comment_type_mismatch', 'generic_only_wording']"
gemini__100__78__ava__rejected_low__771080.jpg__c2d3965ca3,771080.jpg,ava,rejected_low,not_selected,,0,0,False,"['json_invalid', 'missing_comment_type', 'missing_short_reason', 'missing_detailed_reason', 'comment_type_mismatch', 'generic_only_wording']"
gemini__100__79__ava__middle_near_miss__756758.jpg__a43b57d5d0,756758.jpg,ava,middle_near_miss,near_miss,,0,0,False,"['json_invalid', 'missing_comment_type', 'missing_short_reason', 'missing_detailed_reason', 'comment_type_mismatch', 'generic_only_wording']"
gemini__100__80__ava__middle_near_miss__843219.jpg__726917e5e4,843219.jpg,ava,middle_near_miss,near_miss,,0,0,False,"['json_invalid', 'missing_comment_type', 'missing_short_reason', 'missing_detailed_reason', 'comment_type_mismatch', 'generic_only_wording']"
gemini__100__81__aadb__rejected_low__farm1_332_20169347302_1230122ffb_b.jpg__00594278cb,farm1_332_20169347302_1230122ffb_b.jpg,aadb,rejected_low,not_selected,rejection_reason,7,0,True,[]
gemini__100__82__ava__rejected_low__258209.jpg__d3d2157a39,258209.jpg,ava,rejected_low,not_selected,,0,0,False,"['json_invalid', 'missing_comment_type', 'missing_short_reason', 'missing_detailed_reason', 'comment_type_mismatch', 'generic_only_wording']"
gemini__100__83__ava__middle_near_miss__123314.jpg__16c4abb91a,123314.jpg,ava,middle_near_miss,near_miss,,0,0,False,"['json_invalid', 'missing_comment_type', 'missing_short_reason', 'missing_detailed_reason', 'comment_type_mismatch', 'generic_only_wording']"
gemini__100__84__ava__middle_near_miss__6136.jpg__58818c8674,6136.jpg,ava,middle_near_miss,near_miss,near_miss_feedback,2,0,True,[]
gemini__100__85__ava__middle_near_miss__140893.jpg__4973516e82,140893.jpg,ava,middle_near_miss,near_miss,,0,0,False,"['json_invalid', 'missing_comment_type', 'missing_short_reason', 'missing_detailed_reason', 'comment_type_mismatch', 'generic_only_wording']"
gemini__100__86__ava__rejected_low__63018.jpg__a094d031f3,63018.jpg,ava,rejected_low,not_selected,,0,0,False,"['json_invalid', 'missing_comment_type', 'missing_short_reason', 'missing_detailed_reason', 'comment_type_mismatch', 'generic_only_wording']"
gemini__100__87__ava__rejected_low__291569.jpg__76087ff6e5,291569.jpg,ava,rejected_low,not_selected,,0,0,False,"['json_invalid', 'missing_comment_type', 'missing_short_reason', 'missing_detailed_reason', 'comment_type_mismatch', 'generic_only_wording']"
gemini__100__88__aadb__selected_high__farm1_338_20320769242_7145a81a88_b.jpg__b3a6f45ffd,farm1_338_20320769242_7145a81a88_b.jpg,aadb,selected_high,selected,,0,0,False,"['json_invalid', 'missing_comment_type', 'missing_short_reason', 'missing_detailed_reason', 'comment_type_mismatch', 'generic_only_wording']"
gemini__100__89__ava__rejected_low__635840.jpg__de400b93c2,635840.jpg,ava,rejected_low,not_selected,rejection_reason,7,1,True,[]
gemini__100__90__ava__rejected_low__853202.jpg__5e5c7ac78f,853202.jpg,ava,rejected_low,not_selected,,0,0,False,"['json_invalid', 'missing_comment_type', 'missing_short_reason', 'missing_detailed_reason', 'comment_type_mismatch', 'generic_only_wording']"
gemini__100__91__ava__middle_near_miss__264927.jpg__6b14c012c9,264927.jpg,ava,middle_near_miss,near_miss,near_miss_feedback,3,0,True,[]
gemini__100__92__ava__selected_high__66256.jpg__5f2d848e27,66256.jpg,ava,selected_high,selected,,0,0,False,"['json_invalid', 'missing_comment_type', 'missing_short_reason', 'missing_detailed_reason', 'comment_type_mismatch', 'generic_only_wording']"
gemini__100__93__aadb__rejected_low__farm1_378_20191062605_3a5e0442d2_b.jpg__131da5535d,farm1_378_20191062605_3a5e0442d2_b.jpg,aadb,rejected_low,not_selected,rejection_reason,2,0,True,[]
gemini__100__94__ava__selected_high__126037.jpg__4c21647694,126037.jpg,ava,selected_high,selected,selected_explanation,6,1,True,[]
gemini__100__95__ava__middle_near_miss__137047.jpg__a4df321b25,137047.jpg,ava,middle_near_miss,near_miss,near_miss_feedback,4,0,True,[]
gemini__100__96__ava__middle_near_miss__209659.jpg__7cf0d12945,209659.jpg,ava,middle_near_miss,near_miss,near_miss_feedback,4,0,True,['near_miss_missing_positive_aspect']
gemini__100__97__aadb__selected_high__farm1_539_20175824212_f65dc3779b_b.jpg__87ca561e56,farm1_539_20175824212_f65dc3779b_b.jpg,aadb,selected_high,selected,,0,0,False,"['json_invalid', 'missing_comment_type', 'missing_short_reason', 'missing_detailed_reason', 'comment_type_mismatch', 'generic_only_wording']"
gemini__100__98__ava__middle_near_miss__502211.jpg__ce2ef878d3,502211.jpg,ava,middle_near_miss,near_miss,,0,0,False,"['json_invalid', 'missing_comment_type', 'missing_short_reason', 'missing_detailed_reason', 'comment_type_mismatch', 'generic_only_wording']"
gemini__100__99__aadb__middle_near_miss__farm1_331_19997840050_8ece92f626_b.jpg__1f1519a53e,farm1_331_19997840050_8ece92f626_b.jpg,aadb,middle_near_miss,near_miss,,0,0,False,"['json_invalid', 'missing_comment_type', 'missing_short_reason', 'missing_detailed_reason', 'comment_type_mismatch', 'generic_only_wording']"
